Issuer,Card Name,Customer Segment,Product Tier,Card Type,Annual Fee,Purchase APR,Foreign TX Fee,Balance Transfer Offer,Balance Transfer Fee,Sign-up Bonus / Promo,Rewards Program,Rewards Earn Rate,Travel Insurance,Lounge Access,Other Perks,Logo Link,Interest-free days,Minimum spend for bonus,Points caps,Contactless & digital wallet support,"Fees (late, overlimit, additional cards)",Direct PDS links
Newcastle Permanent,Newcastle Permanent Business Platinum Low Rate,Business,Platinum,Low Rate,$56,10.77%,3%,0% for 12-24 mths,1-3%,None,N/A,1.15 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/newcastle permanent.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.newcastlepermanent.com.au/business/pds
Citibank,Citibank Business Platinum Low Rate,Business,Platinum,Low Rate,$26,11.04%,3%,0% for 12-24 mths,1-3%,None,N/A,1.05 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/citibank.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.citibank.com.au/business/pds
Citibank,Citibank Business Platinum Low Rate,Corporate,Platinum,Low Rate,$1,10.80%,3%,0% for 12-24 mths,1-3%,None,N/A,1.07 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/citibank.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.citibank.com.au/business/pds
Kogan,Kogan Platinum Low Rate,Personal,Platinum,Low Rate,$28,9.92%,3%,0% for 12-24 mths,1-3%,None,N/A,1.13 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/kogan.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.kogan.com.au/personal/pds
IMB Bank,IMB Bank Platinum Low Rate,Personal,Platinum,Low Rate,$49,10.47%,3%,0% for 12-24 mths,1-3%,None,N/A,1.62 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/imb bank.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.imbbank.com.au/personal/pds
MyState Bank,MyState Bank Platinum Low Rate,Personal,Platinum,Low Rate,$30,12.68%,3%,0% for 12-24 mths,1-3%,None,N/A,1.63 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/mystate bank.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.mystatebank.com.au/personal/pds
Amex,Amex Platinum Low Rate,Sole Trader,Platinum,Low Rate,$29,10.69%,3%,0% for 12-24 mths,1-3%,None,N/A,0.86 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/amex.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.amex.com.au/personal/pds
Volopay,Volopay Platinum Low Rate,Sole Trader,Platinum,Low Rate,$25,12.34%,3%,0% for 12-24 mths,1-3%,None,N/A,1.44 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/volopay.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.volopay.com.au/personal/pds
Newcastle Permanent,Newcastle Permanent Platinum Low Rate,Sole Trader,Platinum,Low Rate,$20,10.10%,3%,0% for 12-24 mths,1-3%,None,N/A,1.58 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/newcastle permanent.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.newcastlepermanent.com.au/personal/pds
Bankwest,Bankwest Business Signature Low Rate,Corporate,Signature,Low Rate,$49,12.15%,3%,0% for 12-24 mths,1-3%,None,N/A,2.10 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/bankwest.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.bankwest.com.au/business/pds
MyState Bank,MyState Bank Business Signature Low Rate,Corporate,Signature,Low Rate,$47,13.41%,3%,0% for 12-24 mths,1-3%,None,N/A,0.60 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/mystate bank.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.mystatebank.com.au/business/pds
DiviPay,DiviPay Signature Low Rate,Personal,Signature,Low Rate,$50,10.86%,3%,0% for 12-24 mths,1-3%,None,N/A,1.37 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/divipay.png,Up to 55 days,N/A,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.divipay.com.au/personal/pds
Judo Bank,Judo Bank Business Black No Interest,Business,Black,No Interest,$660,0%,0%,—,Standard,80k Pts,N/A,1.09 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/judo bank.png,Up to 55 days,$5861,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.judobank.com.au/business/pds
HSBC,HSBC Business Black Low Fee,Corporate,Black,Low Fee,$514,21.00%,0%,—,Standard,80k Pts,N/A,1.98 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/hsbc.png,Up to 55 days,$1744,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.hsbc.com.au/business/pds
Citibank,Citibank Business Black Expense Management,Corporate,Black,Expense Management,$376,22.32%,0%,—,Standard,80k Pts,N/A,2.14 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/citibank.png,Up to 55 days,$2388,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.citibank.com.au/business/pds
Citibank,Citibank Black Charge,Personal,Black,Charge,$321,21.97%,0%,—,Standard,80k Pts,N/A,1.80 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/citibank.png,Up to 44 days,$5657,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.citibank.com.au/personal/pds
G&C Mutual,G&C Mutual Black Expense Management,Personal,Black,Expense Management,$515,21.56%,0%,—,Standard,80k Pts,N/A,0.67 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/g&c mutual.png,Up to 55 days,$3074,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.g&cmutual.com.au/personal/pds
NAB,NAB Black Expense Management,Personal,Black,Expense Management,$254,23.00%,0%,—,Standard,80k Pts,N/A,1.16 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/nab.png,Up to 55 days,$5718,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.nab.com.au/personal/pds
Amex,Amex Black No Interest,Personal,Black,No Interest,$348,0%,0%,—,Standard,80k Pts,N/A,1.06 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/amex.png,Up to 55 days,$1885,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.amex.com.au/personal/pds
Citibank,Citibank Black Low Fee,Sole Trader,Black,Low Fee,$269,21.30%,0%,—,Standard,80k Pts,N/A,2.12 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/citibank.png,Up to 55 days,$2346,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.citibank.com.au/personal/pds
St George,St George Business Elite Low Fee,Business,Elite,Low Fee,$256,22.05%,0%,—,Standard,80k Pts,N/A,1.18 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/st george.png,Up to 55 days,$5712,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.stgeorge.com.au/business/pds
Airwallex,Airwallex Business Elite Low Fee,Business,Elite,Low Fee,$527,23.40%,0%,—,Standard,80k Pts,N/A,1.05 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/airwallex.png,Up to 55 days,$2507,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.airwallex.com.au/business/pds
ING,ING Elite Low Fee,Sole Trader,Elite,Low Fee,$485,22.23%,0%,—,Standard,80k Pts,N/A,1.08 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/ing.png,Up to 55 days,$5693,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.ing.com.au/personal/pds
DiviPay,DiviPay Elite Low Fee,Sole Trader,Elite,Low Fee,$302,21.94%,0%,—,Standard,80k Pts,N/A,1.31 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/divipay.png,Up to 55 days,$4118,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.divipay.com.au/personal/pds
Great Southern Bank,Great Southern Bank Elite Charge,Sole Trader,Elite,Charge,$261,22.24%,0%,—,Standard,80k Pts,N/A,1.29 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/great southern bank.png,Up to 44 days,$4864,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.greatsouthernbank.com.au/personal/pds
ING,ING Business Signature Expense Management,Business,Signature,Expense Management,$625,22.07%,3%,—,Standard,80k Pts,N/A,1.83 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/ing.png,Up to 55 days,$5640,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.ing.com.au/business/pds
CBA,CBA Signature Expense Management,Personal,Signature,Expense Management,$699,23.86%,3%,—,Standard,80k Pts,N/A,1.49 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/cba.png,Up to 55 days,$1741,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.cba.com.au/personal/pds
Airwallex,Airwallex Signature Low Fee,Sole Trader,Signature,Low Fee,$469,20.98%,3%,—,Standard,80k Pts,N/A,1.14 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/airwallex.png,Up to 55 days,$4952,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.airwallex.com.au/personal/pds
DiviPay,DiviPay Business Entry No Interest,Business,Entry,No Interest,$68,0%,3%,—,Standard,60k Pts,N/A,0.74 pts/$,✘,✘,Accounting Integration,https://logo.placeholder.com/divipay.png,Up to 55 days,$5247,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.divipay.com.au/business/pds
Great Southern Bank,Great Southern Bank Business Entry Charge,Business,Entry,Charge,$62,19.46%,3%,—,Standard,60k Pts,N/A,1.59 pts/$,✘,✘,Accounting Integration,https://logo.placeholder.com/great southern bank.png,Up to 44 days,$4517,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.greatsouthernbank.com.au/business/pds
Bank of Melbourne,Bank of Melbourne Business Entry Expense Management,Business,Entry,Expense Management,$111,19.20%,3%,—,Standard,60k Pts,N/A,1.48 pts/$,✘,✘,Accounting Integration,https://logo.placeholder.com/bank of melbourne.png,Up to 55 days,$1179,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.bankofmelbourne.com.au/business/pds
Westpac,Westpac Business Entry Low Fee,Corporate,Entry,Low Fee,$78,18.18%,3%,—,Standard,60k Pts,N/A,2.10 pts/$,✘,✘,Concierge Service,https://logo.placeholder.com/westpac.png,Up to 55 days,$4906,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.westpac.com.au/business/pds
NAB,NAB Entry Low Fee,Personal,Entry,Low Fee,$74,14.31%,3%,—,Standard,60k Pts,N/A,1.88 pts/$,✘,✘,Concierge Service,https://logo.placeholder.com/nab.png,Up to 55 days,$2588,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.nab.com.au/personal/pds
HSBC,HSBC Entry Expense Management,Personal,Entry,Expense Management,$112,19.61%,3%,—,Standard,60k Pts,N/A,0.90 pts/$,✘,✘,Concierge Service,https://logo.placeholder.com/hsbc.png,Up to 55 days,$5015,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.hsbc.com.au/personal/pds
Teachers Mutual,Teachers Mutual Entry Expense Management,Sole Trader,Entry,Expense Management,$83,14.07%,3%,—,Standard,60k Pts,N/A,1.48 pts/$,✘,✘,Accounting Integration,https://logo.placeholder.com/teachers mutual.png,Up to 55 days,$3047,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.teachersmutual.com.au/personal/pds
Teachers Mutual,Teachers Mutual Business Platinum Low Fee,Business,Platinum,Low Fee,$73,18.93%,3%,—,Standard,60k Pts,N/A,2.14 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/teachers mutual.png,Up to 55 days,$3799,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.teachersmutual.com.au/business/pds
HSBC,HSBC Business Platinum Charge,Business,Platinum,Charge,$150,19.67%,3%,—,Standard,60k Pts,N/A,1.05 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/hsbc.png,Up to 44 days,$3912,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.hsbc.com.au/business/pds
IMB Bank,IMB Bank Business Platinum No Interest,Business,Platinum,No Interest,$122,0%,3%,—,Standard,60k Pts,N/A,1.64 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/imb bank.png,Up to 55 days,$5241,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.imbbank.com.au/business/pds
HSBC,HSBC Business Platinum Low Fee,Corporate,Platinum,Low Fee,$119,14.24%,3%,—,Standard,60k Pts,N/A,0.94 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/hsbc.png,Up to 55 days,$1161,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.hsbc.com.au/business/pds
DiviPay,DiviPay Business Platinum Low Fee,Corporate,Platinum,Low Fee,$97,18.29%,3%,—,Standard,60k Pts,N/A,1.51 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/divipay.png,Up to 55 days,$4809,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.divipay.com.au/business/pds
Coles,Coles Business Platinum Expense Management,Corporate,Platinum,Expense Management,$115,14.31%,3%,—,Standard,60k Pts,N/A,1.07 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/coles.png,Up to 55 days,$2565,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.coles.com.au/business/pds
Teachers Mutual,Teachers Mutual Platinum Low Fee,Personal,Platinum,Low Fee,$83,14.86%,3%,—,Standard,60k Pts,N/A,0.75 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/teachers mutual.png,Up to 55 days,$3659,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.teachersmutual.com.au/personal/pds
Suncorp,Suncorp Platinum Expense Management,Personal,Platinum,Expense Management,$141,19.84%,3%,—,Standard,60k Pts,N/A,1.82 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/suncorp.png,Up to 55 days,$5562,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.suncorp.com.au/personal/pds
ING,ING Platinum Charge,Personal,Platinum,Charge,$92,16.84%,3%,—,Standard,60k Pts,N/A,1.96 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/ing.png,Up to 44 days,$5545,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.ing.com.au/personal/pds
DiviPay,DiviPay Business Entry Expense Management,Business,Entry,Expense Management,$129,16.17%,3%,—,Standard,40k Pts,N/A,1.17 pts/$,✘,✘,Accounting Integration,https://logo.placeholder.com/divipay.png,Up to 55 days,$3771,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.divipay.com.au/business/pds
Volopay,Volopay Business Entry No Interest,Corporate,Entry,No Interest,$143,0%,3%,—,Standard,40k Pts,N/A,1.80 pts/$,✘,✘,Concierge Service,https://logo.placeholder.com/volopay.png,Up to 55 days,$2794,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.volopay.com.au/business/pds
Beyond Bank,Beyond Bank Business Entry Low Fee,Corporate,Entry,Low Fee,$144,18.15%,3%,—,Standard,40k Pts,N/A,2.06 pts/$,✘,✘,Concierge Service,https://logo.placeholder.com/beyond bank.png,Up to 55 days,$5592,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.beyondbank.com.au/business/pds
Westpac,Westpac Business Entry No Interest,Corporate,Entry,No Interest,$116,0%,3%,—,Standard,40k Pts,N/A,1.54 pts/$,✘,✘,Concierge Service,https://logo.placeholder.com/westpac.png,Up to 55 days,$2060,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.westpac.com.au/business/pds
Volopay,Volopay Business Entry No Interest,Corporate,Entry,No Interest,$102,0%,3%,—,Standard,40k Pts,N/A,1.40 pts/$,✘,✘,Concierge Service,https://logo.placeholder.com/volopay.png,Up to 55 days,$4561,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.volopay.com.au/business/pds
Newcastle Permanent,Newcastle Permanent Business Entry Expense Management,Corporate,Entry,Expense Management,$84,17.17%,3%,—,Standard,40k Pts,N/A,1.46 pts/$,✘,✘,Concierge Service,https://logo.placeholder.com/newcastle permanent.png,Up to 55 days,$1474,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.newcastlepermanent.com.au/business/pds
Great Southern Bank,Great Southern Bank Business Entry Charge,Corporate,Entry,Charge,$123,14.05%,3%,—,Standard,40k Pts,N/A,0.59 pts/$,✘,✘,Concierge Service,https://logo.placeholder.com/great southern bank.png,Up to 44 days,$4450,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.greatsouthernbank.com.au/business/pds
Westpac,Westpac Entry No Interest,Personal,Entry,No Interest,$99,0%,3%,—,Standard,40k Pts,N/A,0.56 pts/$,✘,✘,Concierge Service,https://logo.placeholder.com/westpac.png,Up to 55 days,$4319,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.westpac.com.au/personal/pds
G&C Mutual,G&C Mutual Entry Charge,Personal,Entry,Charge,$99,16.79%,3%,—,Standard,40k Pts,N/A,0.99 pts/$,✘,✘,Concierge Service,https://logo.placeholder.com/g&c mutual.png,Up to 44 days,$5521,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.g&cmutual.com.au/personal/pds
ING,ING Entry No Interest,Personal,Entry,No Interest,$106,0%,3%,—,Standard,40k Pts,N/A,1.65 pts/$,✘,✘,Concierge Service,https://logo.placeholder.com/ing.png,Up to 55 days,$3315,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.ing.com.au/personal/pds
Qantas Money,Qantas Money Entry Low Fee,Sole Trader,Entry,Low Fee,$93,18.16%,3%,—,Standard,40k Pts,N/A,2.13 pts/$,✘,✘,Accounting Integration,https://logo.placeholder.com/qantas money.png,Up to 55 days,$2920,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.qantasmoney.com.au/personal/pds
Bank of Queensland,Bank of Queensland Entry Expense Management,Sole Trader,Entry,Expense Management,$72,16.89%,3%,—,Standard,40k Pts,N/A,1.58 pts/$,✘,✘,Accounting Integration,https://logo.placeholder.com/bank of queensland.png,Up to 55 days,$5371,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.bankofqueensland.com.au/personal/pds
BankSA,BankSA Entry No Interest,Sole Trader,Entry,No Interest,$74,0%,3%,—,Standard,40k Pts,N/A,1.04 pts/$,✘,✘,Accounting Integration,https://logo.placeholder.com/banksa.png,Up to 55 days,$3828,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.banksa.com.au/personal/pds
IMB Bank,IMB Bank Entry No Interest,Sole Trader,Entry,No Interest,$74,0%,3%,—,Standard,40k Pts,N/A,1.14 pts/$,✘,✘,Accounting Integration,https://logo.placeholder.com/imb bank.png,Up to 55 days,$1373,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.imbbank.com.au/personal/pds
Weel,Weel Entry No Interest,Sole Trader,Entry,No Interest,$67,0%,3%,—,Standard,40k Pts,N/A,1.94 pts/$,✘,✘,Accounting Integration,https://logo.placeholder.com/weel.png,Up to 55 days,$3129,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.weel.com.au/personal/pds
IMB Bank,IMB Bank Business Platinum Low Fee,Corporate,Platinum,Low Fee,$98,14.81%,3%,—,Standard,40k Pts,N/A,2.09 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/imb bank.png,Up to 55 days,$5826,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.imbbank.com.au/business/pds
DiviPay,DiviPay Business Platinum Charge,Corporate,Platinum,Charge,$64,18.29%,3%,—,Standard,40k Pts,N/A,1.72 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/divipay.png,Up to 44 days,$1849,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.divipay.com.au/business/pds
Qantas Money,Qantas Money Platinum Expense Management,Personal,Platinum,Expense Management,$138,14.04%,3%,—,Standard,40k Pts,N/A,1.30 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/qantas money.png,Up to 55 days,$2778,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.qantasmoney.com.au/personal/pds
IMB Bank,IMB Bank Platinum Low Fee,Personal,Platinum,Low Fee,$139,19.16%,3%,—,Standard,40k Pts,N/A,1.04 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/imb bank.png,Up to 55 days,$5849,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.imbbank.com.au/personal/pds
Judo Bank,Judo Bank Platinum Charge,Sole Trader,Platinum,Charge,$123,14.84%,3%,—,Standard,40k Pts,N/A,0.60 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/judo bank.png,Up to 44 days,$3664,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.judobank.com.au/personal/pds
Bendigo Bank,Bendigo Bank Business Entry No Interest,Business,Entry,No Interest,$131,0%,3%,—,Standard,20k Pts,N/A,0.66 pts/$,✘,✘,Accounting Integration,https://logo.placeholder.com/bendigo bank.png,Up to 55 days,$4151,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.bendigobank.com.au/business/pds
Bankwest,Bankwest Business Platinum No Interest,Business,Platinum,No Interest,$147,0%,3%,—,Standard,20k Pts,N/A,1.02 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/bankwest.png,Up to 55 days,$2911,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.bankwest.com.au/business/pds
Woolworths,Woolworths Business Platinum No Interest,Business,Platinum,No Interest,$127,0%,3%,—,Standard,20k Pts,N/A,1.85 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/woolworths.png,Up to 55 days,$5438,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.woolworths.com.au/business/pds
St George,St George Business Platinum Expense Management,Business,Platinum,Expense Management,$86,14.32%,3%,—,Standard,20k Pts,N/A,1.71 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/st george.png,Up to 55 days,$2490,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.stgeorge.com.au/business/pds
Virgin Money,Virgin Money Business Platinum No Interest,Corporate,Platinum,No Interest,$142,0%,3%,—,Standard,20k Pts,N/A,1.23 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/virgin money.png,Up to 55 days,$5822,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.virginmoney.com.au/business/pds
Amex,Amex Business Platinum No Interest,Corporate,Platinum,No Interest,$61,0%,3%,—,Standard,20k Pts,N/A,0.57 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/amex.png,Up to 55 days,$1725,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.amex.com.au/business/pds
Citibank,Citibank Business Platinum No Interest,Corporate,Platinum,No Interest,$91,0%,3%,—,Standard,20k Pts,N/A,1.48 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/citibank.png,Up to 55 days,$4200,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.citibank.com.au/business/pds
Teachers Mutual,Teachers Mutual Business Platinum Low Fee,Corporate,Platinum,Low Fee,$119,15.81%,3%,—,Standard,20k Pts,N/A,1.01 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/teachers mutual.png,Up to 55 days,$3333,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.teachersmutual.com.au/business/pds
ING,ING Business Platinum Charge,Corporate,Platinum,Charge,$70,18.45%,3%,—,Standard,20k Pts,N/A,0.59 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/ing.png,Up to 44 days,$2186,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.ing.com.au/business/pds
