Issuer,Card Name,Customer Segment,Product Tier,Card Type,Annual Fee,Purchase APR,Foreign TX Fee,Balance Transfer Offer,Balance Transfer Fee,Sign-up Bonus / Promo,Rewards Program,Rewards Earn Rate,Travel Insurance,Lounge Access,Other Perks,Logo Link,Interest-free days,Minimum spend for bonus,Points caps,Contactless & digital wallet support,"Fees (late, overlimit, additional cards)",Direct PDS links
Coles,Coles Platinum Low Fee,Personal,Platinum,Low Fee,$134,15.09%,3%,—,Standard,20k Pts,N/A,0.98 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/coles.png,Up to 55 days,$3841,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.coles.com.au/personal/pds
ING,ING Platinum Expense Management,Personal,Platinum,Expense Management,$128,16.58%,3%,—,Standard,20k Pts,N/A,2.17 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/ing.png,Up to 55 days,$1214,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.ing.com.au/personal/pds
Volopay,Volopay Platinum Low Fee,Sole Trader,Platinum,Low Fee,$67,15.38%,3%,—,Standard,20k Pts,N/A,0.91 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/volopay.png,Up to 55 days,$1632,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.volopay.com.au/personal/pds
Bank of Melbourne,Bank of Melbourne Platinum No Interest,Sole Trader,Platinum,No Interest,$142,0%,3%,—,Standard,20k Pts,N/A,1.97 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/bank of melbourne.png,Up to 55 days,$1038,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.bankofmelbourne.com.au/personal/pds
Police Bank,Police Bank Platinum No Interest,Sole Trader,Platinum,No Interest,$119,0%,3%,—,Standard,20k Pts,N/A,0.95 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/police bank.png,Up to 55 days,$5209,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.policebank.com.au/personal/pds
Westpac,Westpac Platinum No Interest,Sole Trader,Platinum,No Interest,$109,0%,3%,—,Standard,20k Pts,N/A,1.61 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/westpac.png,Up to 55 days,$2817,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.westpac.com.au/personal/pds
Teachers Mutual,Teachers Mutual Business Black Charge,Business,Black,Charge,$525,20.29%,0%,—,Standard,150k Pts,N/A,0.73 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/teachers mutual.png,Up to 44 days,$3121,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.teachersmutual.com.au/business/pds
Bank of Melbourne,Bank of Melbourne Business Black Charge,Corporate,Black,Charge,$547,20.25%,0%,—,Standard,150k Pts,N/A,1.75 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/bank of melbourne.png,Up to 44 days,$2783,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.bankofmelbourne.com.au/business/pds
Police Bank,Police Bank Black Expense Management,Personal,Black,Expense Management,$498,22.61%,0%,—,Standard,150k Pts,N/A,1.80 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/police bank.png,Up to 55 days,$3904,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.policebank.com.au/personal/pds
Westpac,Westpac Black Charge,Personal,Black,Charge,$480,21.47%,0%,—,Standard,150k Pts,N/A,1.55 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/westpac.png,Up to 44 days,$3984,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.westpac.com.au/personal/pds
Judo Bank,Judo Bank Black Expense Management,Sole Trader,Black,Expense Management,$688,20.86%,0%,—,Standard,150k Pts,N/A,1.78 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/judo bank.png,Up to 55 days,$5496,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.judobank.com.au/personal/pds
Coles,Coles Black No Interest,Sole Trader,Black,No Interest,$326,0%,0%,—,Standard,150k Pts,N/A,2.04 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/coles.png,Up to 55 days,$5566,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.coles.com.au/personal/pds
Bank of Melbourne,Bank of Melbourne Black No Interest,Sole Trader,Black,No Interest,$317,0%,0%,—,Standard,150k Pts,N/A,1.70 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/bank of melbourne.png,Up to 55 days,$3756,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.bankofmelbourne.com.au/personal/pds
Woolworths,Woolworths Black No Interest,Sole Trader,Black,No Interest,$301,0%,0%,—,Standard,150k Pts,N/A,1.03 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/woolworths.png,Up to 55 days,$1439,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.woolworths.com.au/personal/pds
Amex,Amex Black Charge,Sole Trader,Black,Charge,$419,23.81%,0%,—,Standard,150k Pts,N/A,1.81 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/amex.png,Up to 44 days,$1105,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.amex.com.au/personal/pds
HSBC,HSBC Business Elite Expense Management,Business,Elite,Expense Management,$338,23.58%,0%,—,Standard,150k Pts,N/A,0.84 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/hsbc.png,Up to 55 days,$2236,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.hsbc.com.au/business/pds
CBA,CBA Business Elite Low Fee,Business,Elite,Low Fee,$297,22.94%,0%,—,Standard,150k Pts,N/A,2.00 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/cba.png,Up to 55 days,$5580,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.cba.com.au/business/pds
Great Southern Bank,Great Southern Bank Business Elite Expense Management,Business,Elite,Expense Management,$543,23.66%,0%,—,Standard,150k Pts,N/A,1.07 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/great southern bank.png,Up to 55 days,$1879,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.greatsouthernbank.com.au/business/pds
Citibank,Citibank Business Elite Expense Management,Corporate,Elite,Expense Management,$546,21.20%,0%,—,Standard,150k Pts,N/A,0.68 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/citibank.png,Up to 55 days,$1327,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.citibank.com.au/business/pds
Virgin Money,Virgin Money Business Elite Expense Management,Corporate,Elite,Expense Management,$450,22.65%,0%,—,Standard,150k Pts,N/A,1.64 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/virgin money.png,Up to 55 days,$4663,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.virginmoney.com.au/business/pds
Police Bank,Police Bank Elite Low Fee,Personal,Elite,Low Fee,$597,21.64%,0%,—,Standard,150k Pts,N/A,0.68 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/police bank.png,Up to 55 days,$4189,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.policebank.com.au/personal/pds
Great Southern Bank,Great Southern Bank Elite Low Fee,Sole Trader,Elite,Low Fee,$320,23.59%,0%,—,Standard,150k Pts,N/A,0.71 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/great southern bank.png,Up to 55 days,$2905,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.greatsouthernbank.com.au/personal/pds
Kogan,Kogan Elite Low Fee,Sole Trader,Elite,Low Fee,$351,21.09%,0%,—,Standard,150k Pts,N/A,0.88 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/kogan.png,Up to 55 days,$2363,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.kogan.com.au/personal/pds
Bankwest,Bankwest Elite Charge,Sole Trader,Elite,Charge,$654,21.17%,0%,—,Standard,150k Pts,N/A,2.01 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/bankwest.png,Up to 44 days,$5991,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.bankwest.com.au/personal/pds
ANZ,ANZ Business Signature Low Fee,Business,Signature,Low Fee,$607,22.78%,3%,—,Standard,150k Pts,N/A,1.45 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/anz.png,Up to 55 days,$2027,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.anz.com.au/business/pds
Kogan,Kogan Business Signature Low Fee,Business,Signature,Low Fee,$457,20.38%,3%,—,Standard,150k Pts,N/A,1.06 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/kogan.png,Up to 55 days,$1646,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.kogan.com.au/business/pds
MyState Bank,MyState Bank Business Signature Charge,Corporate,Signature,Charge,$444,22.54%,3%,—,Standard,150k Pts,N/A,0.89 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/mystate bank.png,Up to 44 days,$3889,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.mystatebank.com.au/business/pds
Teachers Mutual,Teachers Mutual Signature No Interest,Personal,Signature,No Interest,$506,0%,3%,—,Standard,150k Pts,N/A,1.33 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/teachers mutual.png,Up to 55 days,$2965,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.teachersmutual.com.au/personal/pds
Suncorp,Suncorp Signature Low Fee,Sole Trader,Signature,Low Fee,$631,22.61%,3%,—,Standard,150k Pts,N/A,0.80 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/suncorp.png,Up to 55 days,$2366,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.suncorp.com.au/personal/pds
HSBC,HSBC Signature Low Fee,Sole Trader,Signature,Low Fee,$306,20.61%,3%,—,Standard,150k Pts,N/A,0.85 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/hsbc.png,Up to 55 days,$4938,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.hsbc.com.au/personal/pds
Volopay,Volopay Business Black No Interest,Business,Black,No Interest,$366,0%,0%,—,Standard,120k Pts,N/A,0.51 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/volopay.png,Up to 55 days,$1572,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.volopay.com.au/business/pds
Amex,Amex Business Black Expense Management,Corporate,Black,Expense Management,$369,23.15%,0%,—,Standard,120k Pts,N/A,2.12 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/amex.png,Up to 55 days,$1264,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.amex.com.au/business/pds
Amex,Amex Black No Interest,Personal,Black,No Interest,$279,0%,0%,—,Standard,120k Pts,N/A,0.59 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/amex.png,Up to 55 days,$2369,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.amex.com.au/personal/pds
Macquarie,Macquarie Black No Interest,Sole Trader,Black,No Interest,$388,0%,0%,—,Standard,120k Pts,N/A,1.05 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/macquarie.png,Up to 55 days,$1476,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.macquarie.com.au/personal/pds
Suncorp,Suncorp Black Charge,Sole Trader,Black,Charge,$599,21.53%,0%,—,Standard,120k Pts,N/A,1.21 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/suncorp.png,Up to 44 days,$2965,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.suncorp.com.au/personal/pds
CBA,CBA Business Elite Low Fee,Corporate,Elite,Low Fee,$382,21.82%,0%,—,Standard,120k Pts,N/A,1.43 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/cba.png,Up to 55 days,$3493,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.cba.com.au/business/pds
ANZ,ANZ Business Elite Low Fee,Corporate,Elite,Low Fee,$606,21.69%,0%,—,Standard,120k Pts,N/A,1.75 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/anz.png,Up to 55 days,$4334,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.anz.com.au/business/pds
Bendigo Bank,Bendigo Bank Elite No Interest,Personal,Elite,No Interest,$520,0%,0%,—,Standard,120k Pts,N/A,1.47 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/bendigo bank.png,Up to 55 days,$2927,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.bendigobank.com.au/personal/pds
ANZ,ANZ Elite Expense Management,Personal,Elite,Expense Management,$370,23.76%,0%,—,Standard,120k Pts,N/A,1.65 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/anz.png,Up to 55 days,$2881,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.anz.com.au/personal/pds
Teachers Mutual,Teachers Mutual Elite Low Fee,Sole Trader,Elite,Low Fee,$436,22.84%,0%,—,Standard,120k Pts,N/A,2.12 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/teachers mutual.png,Up to 55 days,$5972,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.teachersmutual.com.au/personal/pds
Bankwest,Bankwest Business Signature Low Fee,Business,Signature,Low Fee,$353,21.72%,3%,—,Standard,120k Pts,N/A,0.70 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/bankwest.png,Up to 55 days,$3360,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.bankwest.com.au/business/pds
Airwallex,Airwallex Business Signature Expense Management,Business,Signature,Expense Management,$459,20.40%,3%,—,Standard,120k Pts,N/A,0.84 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/airwallex.png,Up to 55 days,$4136,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.airwallex.com.au/business/pds
Westpac,Westpac Business Signature Expense Management,Corporate,Signature,Expense Management,$688,22.97%,3%,—,Standard,120k Pts,N/A,2.03 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/westpac.png,Up to 55 days,$1797,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.westpac.com.au/business/pds
G&C Mutual,G&C Mutual Signature Charge,Personal,Signature,Charge,$407,22.32%,3%,—,Standard,120k Pts,N/A,0.58 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/g&c mutual.png,Up to 44 days,$1356,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.g&cmutual.com.au/personal/pds
Bendigo Bank,Bendigo Bank Signature No Interest,Personal,Signature,No Interest,$354,0%,3%,—,Standard,120k Pts,N/A,1.74 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/bendigo bank.png,Up to 55 days,$4460,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.bendigobank.com.au/personal/pds
Bank of Queensland,Bank of Queensland Signature Expense Management,Sole Trader,Signature,Expense Management,$572,20.99%,3%,—,Standard,120k Pts,N/A,1.25 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/bank of queensland.png,Up to 55 days,$4132,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.bankofqueensland.com.au/personal/pds
MyState Bank,MyState Bank Signature No Interest,Sole Trader,Signature,No Interest,$504,0%,3%,—,Standard,120k Pts,N/A,0.87 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/mystate bank.png,Up to 55 days,$3861,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.mystatebank.com.au/personal/pds
Bankwest,Bankwest Signature Charge,Sole Trader,Signature,Charge,$652,21.67%,3%,—,Standard,120k Pts,N/A,1.01 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/bankwest.png,Up to 44 days,$4041,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.bankwest.com.au/personal/pds
Kogan,Kogan Business Black Low Fee,Business,Black,Low Fee,$275,21.56%,0%,—,Standard,100k Pts,N/A,1.38 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/kogan.png,Up to 55 days,$2829,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.kogan.com.au/business/pds
Macquarie,Macquarie Business Black No Interest,Corporate,Black,No Interest,$674,0%,0%,—,Standard,100k Pts,N/A,1.81 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/macquarie.png,Up to 55 days,$3949,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.macquarie.com.au/business/pds
Airwallex,Airwallex Business Elite Expense Management,Business,Elite,Expense Management,$286,20.68%,0%,—,Standard,100k Pts,N/A,1.50 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/airwallex.png,Up to 55 days,$3449,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.airwallex.com.au/business/pds
BankSA,BankSA Business Elite No Interest,Corporate,Elite,No Interest,$506,0%,0%,—,Standard,100k Pts,N/A,1.37 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/banksa.png,Up to 55 days,$3722,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.banksa.com.au/business/pds
DiviPay,DiviPay Elite Charge,Personal,Elite,Charge,$392,23.51%,0%,—,Standard,100k Pts,N/A,1.66 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/divipay.png,Up to 44 days,$5488,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.divipay.com.au/personal/pds
CBA,CBA Elite Low Fee,Sole Trader,Elite,Low Fee,$659,21.75%,0%,—,Standard,100k Pts,N/A,2.16 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/cba.png,Up to 55 days,$2251,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.cba.com.au/personal/pds
MyState Bank,MyState Bank Business Signature Expense Management,Business,Signature,Expense Management,$610,23.92%,3%,—,Standard,100k Pts,N/A,0.51 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/mystate bank.png,Up to 55 days,$5570,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.mystatebank.com.au/business/pds
Teachers Mutual,Teachers Mutual Business Signature No Interest,Business,Signature,No Interest,$657,0%,3%,—,Standard,100k Pts,N/A,1.05 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/teachers mutual.png,Up to 55 days,$4903,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.teachersmutual.com.au/business/pds
Bendigo Bank,Bendigo Bank Business Signature Expense Management,Corporate,Signature,Expense Management,$372,23.52%,3%,—,Standard,100k Pts,N/A,1.54 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/bendigo bank.png,Up to 55 days,$1931,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.bendigobank.com.au/business/pds
Woolworths,Woolworths Signature Charge,Sole Trader,Signature,Charge,$254,21.91%,3%,—,Standard,100k Pts,N/A,1.09 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/woolworths.png,Up to 44 days,$3090,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.woolworths.com.au/personal/pds
MyState Bank,MyState Bank Business Elite Rewards,Business,Elite,Rewards,$547,22.38%,0%,—,Standard,100k Pts,MyState Bank Rewards,0.52 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/mystate bank.png,Up to 55 days,$2597,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.mystatebank.com.au/business/pds
Macquarie,Macquarie Business Elite Rewards,Business,Elite,Rewards,$305,22.83%,0%,—,Standard,120k Pts,Macquarie Rewards,0.58 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/macquarie.png,Up to 55 days,$2772,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.macquarie.com.au/business/pds
Judo Bank,Judo Bank Business Black Rewards,Business,Black,Rewards,$520,22.82%,0%,—,Standard,80k Pts,Judo Bank Rewards,1.58 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/judo bank.png,Up to 55 days,$5557,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.judobank.com.au/business/pds
HSBC,HSBC Platinum Rewards,Personal,Platinum,Rewards,$114,14.21%,3%,—,Standard,20k Pts,HSBC Rewards,1.34 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/hsbc.png,Up to 55 days,$2260,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.hsbc.com.au/personal/pds
Great Southern Bank,Great Southern Bank Business Signature Rewards,Business,Signature,Rewards,$537,20.34%,3%,—,Standard,100k Pts,Great Southern Bank Rewards,1.78 pts/$,✔,✔,Accounting Integration,https://logo.placeholder.com/great southern bank.png,Up to 55 days,$1157,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.greatsouthernbank.com.au/business/pds
DiviPay,DiviPay Signature Rewards,Personal,Signature,Rewards,$361,22.31%,3%,—,Standard,80k Pts,DiviPay Rewards,2.05 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/divipay.png,Up to 55 days,$5474,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.divipay.com.au/personal/pds
Citibank,Citibank Business Platinum Rewards,Business,Platinum,Rewards,$106,18.74%,3%,—,Standard,20k Pts,Citibank Rewards,1.94 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/citibank.png,Up to 55 days,$2383,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.citibank.com.au/business/pds
Citibank,Citibank Business Platinum Rewards,Corporate,Platinum,Rewards,$131,18.42%,3%,—,Standard,20k Pts,Citibank Rewards,1.53 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/citibank.png,Up to 55 days,$3096,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.citibank.com.au/business/pds
Citibank,Citibank Business Elite Rewards,Corporate,Elite,Rewards,$533,21.93%,0%,—,Standard,120k Pts,Citibank Rewards,1.93 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/citibank.png,Up to 55 days,$2864,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.citibank.com.au/business/pds
Bank of Queensland,Bank of Queensland Business Platinum Rewards,Corporate,Platinum,Rewards,$139,16.30%,3%,—,Standard,60k Pts,Bank of Queensland Rewards,1.18 pts/$,✔,✘,Concierge Service,https://logo.placeholder.com/bank of queensland.png,Up to 55 days,$1810,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.bankofqueensland.com.au/business/pds
Bank of Queensland,Bank of Queensland Business Elite Rewards,Corporate,Elite,Rewards,$571,21.31%,0%,—,Standard,100k Pts,Bank of Queensland Rewards,1.50 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/bank of queensland.png,Up to 55 days,$4343,Uncapped,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.bankofqueensland.com.au/business/pds
Bank of Melbourne,Bank of Melbourne Business Signature Rewards,Corporate,Signature,Rewards,$307,20.04%,3%,—,Standard,80k Pts,Bank of Melbourne Rewards,1.58 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/bank of melbourne.png,Up to 55 days,$5013,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.bankofmelbourne.com.au/business/pds
Bank of Melbourne,Bank of Melbourne Business Platinum Rewards,Business,Platinum,Rewards,$119,19.87%,3%,—,Standard,40k Pts,Bank of Melbourne Rewards,0.52 pts/$,✔,✘,Accounting Integration,https://logo.placeholder.com/bank of melbourne.png,Up to 55 days,$5659,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.bankofmelbourne.com.au/business/pds
Airwallex,Airwallex Business Black Rewards,Corporate,Black,Rewards,$598,21.42%,0%,—,Standard,80k Pts,Airwallex Rewards,1.73 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/airwallex.png,Up to 55 days,$5950,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.airwallex.com.au/business/pds
Airwallex,Airwallex Business Signature Rewards,Corporate,Signature,Rewards,$327,23.57%,3%,—,Standard,150k Pts,Airwallex Rewards,0.98 pts/$,✔,✔,Concierge Service,https://logo.placeholder.com/airwallex.png,Up to 55 days,$2099,Capped at $5k/mo,"Apple, Google, Samsung Pay","$15-30 Late, $0 Overlimit",https://www.airwallex.com.au/business/pds
